"ID HISTÓRICO (itep)","Cód. IBGE/Apac","MUNICÍPIO","ESTAÇÃO","LAT","LON","ALT","LOCAL","TIPO PCD","TIPO","TIPO COLETA","OPERAÇÃO","BACIA HIDROGRÁFICA","MICRORREGIÃO","HOMOGENIA","MESORREGIÃO","DATA INSTALAÇÃO","DATA DESINSTALAÇÃO","GOOGLE"
"198","260005401V","Abreu e Lima","Abreu e Lima","-7.928","-34.900","46.8","Abreu e Lima","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","11/1/1992","6/30/1993","MAPA"
"2003","260005401A","Abreu e Lima","Abreu e Lima (Distrito Industrial - Timbó)","-7.917","-34.898","17.8","Abreu e Lima","Meteorologica","Pluviometrica","Automática","CEMADEN","GL-1","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"TPLU002","260005402A","Abreu e Lima","Abreu e Lima","-7.896","-34.942","0.0","0","Meteorologica","Pluviometrica","Automática","APAC","GL1","Região Metropolitana","Região Metropolitana do Recife","Região Metropolitana do Recife","1/1/1970","8/31/1970","MAPA"
"41","260010401V","Afogados da Ingazeira","Afogados da Ingazeira (CHESF)","-7.750","-37.650","503.0","Afogados da Ingazeira (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","1/1/1993","","MAPA"
"146","260010402V","Afogados da Ingazeira","Afogados da Ingazeira","-7.750","-37.641","509.0","Afogados da Ingazeira","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","2/1/1914","","MAPA"
"290","260010403V","Afogados da Ingazeira","Afogados da Ingazeira","-7.757","-37.633","530.8","Afogados da Ingazeira","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","1/1/1996","","MAPA"
"377","260010404V","Afogados da Ingazeira","Afogados da Ingazeira (Açude Brotas)","-7.742","-37.624","509.8","Afogados da Ingazeira (Açude Brotas)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","10/26/2001","","MAPA"
"501","260010401H","Afogados da Ingazeira","Afogados da Ingazeira - PCD (Brotas)","-7.733","-37.617","532.6","Afogados da Ingazeira - PCD (Brotas)","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","4/1/2000","4/1/1999","MAPA"
"549","260010401M","Afogados da Ingazeira","Afogados da Ingazeira - PCD","-7.757","-37.633","531.0","Afogados da Ingazeira - PCD","Meteorologica","Pluviometrica","Automática","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","5/13/2010","7/31/1998","MAPA"
"1907","260010402H","Afogados da Ingazeira","Afogados da Ingazeira (Brotas)","-7.745","-37.622","518.0","Brotas","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","1/1/1970","8/1/2004","MAPA"
"TPLU214","260010401A","Afogados da Ingazeira","Afogados da Ingazeira","-7.743","-37.625","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","PAJEÚ","Sertão do Pajeú","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","8/1/2000","MAPA"
"1","260020301V","Afrânio","Afrânio","-8.517","-41.005","522.9","Afrânio","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","10/1/1971","7/15/2002","MAPA"
"173","260020302V","Afrânio","Afrânio (Arizona)","-8.677","-40.961","477.1","Afrânio (Arizona)","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","5/1/1934","","MAPA"
"174","260020303V","Afrânio","Afrânio (Cachoeira do Roberto)","-8.636","-41.140","503.0","Afrânio (Cachoeira do Roberto)","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","11/1/1962","4/30/1927","MAPA"
"369","260020301M","Afrânio","Afrânio - PCD","-8.519","-41.010","515.2","Afrânio - PCD","Meteorologica","Pluviometrica","Automática","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","6/1/2000","","MAPA"
"1923","260020302A","Afrânio","Afrânio","-8.520","-41.010","510.0","Afrânio","Meteorologica","Pluviometrica","Automática","INPE","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","1/1/1970","7/1/1998","MAPA"
"TPLU235","260020301A","Afrânio","Afrânio (Arizona)","-8.674","-40.961","0.0","Escola Municipal Rui Barbosa","Meteorologica","Pluviometrica","Automática","APAC","PONTAL","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","","MAPA"
"2188","260020301U","AFRÂNIO","AFRANIO [U]","-8.535","-40.972","0.0","AFRÂNIO","Agrometeorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","11/1/2006","MAPA"
"115","260030201V","Agrestina","Agrestina","-8.458","-35.942","435.3","Agrestina","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","3/1/1993","","MAPA"
"382","260030202V","Agrestina","Agrestina","-8.458","-35.954","415.1","Agrestina","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1999","12/31/1987","MAPA"
